-57,1
-56,1
-69,1
-53,1
-56,1
-55,1
-54,1
-54,1
-54,1
-53,1
-51,1
-53,1
-59,1
-53,1
-54,1
-52,1
-58,1
-60,1
-63,1
-60,1
-59,1
-59,1
-58,1
-59,1
-59,1
-57,1
-65,2
-67,2
-66,2
-68,2
-67,2
-60,2
-62,2
-61,2
-68,2
-68,2
-60,2
-65,2
-66,2
-64,2
-70,2
-65,2
-65,2
-71,2
-65,2
-78,2
-76,2
-62,2
-61,2
-66,2
-70,2
-60,2
-67,2
-73,2
-64,2
-70,2
-72,3
-73,3
-65,3
-64,3
-65,3
-66,3
-65,3
-68,3
-64,3
-67,3
-78,3
-73,3
-71,3
-71,3
-74,3
-73,3
-71,3
-81,3
-79,3
-79,3
-79,3
-71,3
-73,3
-75,3
-72,3
-81,3
-70,3
-77,3
-72,3
-70,3
-69,3
-74,3
-82,3
-76,3
-76,3
-78,3
-70,3
-80,3
-72,3
-72,3
-71,3
-74,3
-72,3
-77,3
-72,4
-77,4
-68,4
-69,4
-70,4
-71,4
-64,4
-75,4
-69,4
-69,4
-79,4
-74,4
-69,4
-69,4
-70,4
-69,4
-68,4
-68,4
-67,4
-75,4
-73,4
-66,4
-67,4
-66,4
-68,4
-66,4
-73,4
-72,4
-70,4
-75,4
-67,4
-70,4
-71,4
-69,4
-66,4
-69,4
-66,4
-70,4
-65,4
-68,4
-72,4
-67,4
-67,4
-68,4
-66,4
-63,4
-66,4
-73,5
-71,5
-70,5
-73,5
-76,5
-66,5
-77,5
-63,5
-70,5
-72,5
-72,5
-64,5
-65,5
-67,5
-67,5
-67,5
-65,5
-67,5
-65,5
-73,5
-65,5
-67,5
-67,5
-66,5
-65,5
-85,5
-70,5
-85,5
-73,5
-69,5
-71,5
-78,5
-70,5
-70,5
-72,5
-74,5
-67,5
-69,5
-73,5
-69,5
-67,5
-75,5
-66,5
-67,5
-68,5
-74,5
-75,5
-69,5
-74,5
-74,5
-69,5
-75,5
-73,5
-72,5
-76,5
-68,5
-81,5
-67,5
-73,5
-67,5
-72,5
-85,5
-81,5
-76,5
-81,5
-80,5
-81,5
-75,5
-87,5
-76,5
-86,5
-82,16
-76,16
-83,16
-94,16
-82,16
-84,16
-84,16
-85,16
-87,16
-85,16
-90,16
-84,16
-86,16
-92,16
-81,16
-91,16
-85,16
-81,16
-82,16
-78,16
-82,16
-79,16
-78,16
-84,16
-86,16
-76,16
-74,16
-81,16
-84,16
-79,16
-77,16
-76,16
-96,16
-81,16
-79,16
-85,16
-83,16
-90,16
-84,16
